Date,Price,Open,High,Low,Vol.,Change %
08/25/2023,223.41,218.41,223.77,212.88,12.35M,2.81%
08/24/2023,217.31,222.51,224.2,217.09,9.13M,-4.93%
08/23/2023,228.58,230,230.54,227.1,3.00M,-0.65%
08/22/2023,230.07,228.08,230.48,226.93,3.01M,1.25%
08/21/2023,227.22,226.8,227.69,225.1,2.73M,0.25%
08/18/2023,226.65,222.23,226.79,221.68,3.58M,0.94%
08/17/2023,224.54,230.57,231.64,224.26,4.36M,-2.35%
08/16/2023,229.95,231.5,234.67,229.6,2.27M,-0.99%
08/15/2023,232.26,235,235.56,231.54,3.20M,-1.88%
08/14/2023,236.71,237,238.65,235.75,2.49M,0.42%
08/11/2023,235.72,237.61,238.26,235.12,2.65M,-1.07%
08/10/2023,238.26,238.45,241.58,237.04,3.71M,0.17%
08/09/2023,237.86,238.54,241.24,236.41,4.04M,-0.08%
08/08/2023,238.04,236.52,240.73,236,5.15M,-0.09%
08/07/2023,238.25,232.74,238.98,232.74,6.07M,2.98%
08/04/2023,231.36,232.29,234.91,230.08,3.50M,0.00%
08/03/2023,231.36,231,233.58,230.4,3.29M,-0.01%
08/02/2023,231.38,234.99,236.68,230.69,5.33M,-2.79%
08/01/2023,238.01,237.55,243.1,237.31,4.98M,-0.35%
07/31/2023,238.85,238.99,239.07,236.21,4.90M,0.07%
07/28/2023,238.69,236.12,240.13,235.7,7.06M,2.11%
07/27/2023,233.75,235.24,238.67,231.83,12.02M,0.41%
07/26/2023,232.8,222.16,233.09,221.77,24.92M,8.72%
07/25/2023,214.12,214.2,214.82,210.81,6.51M,-0.81%
07/24/2023,215.87,212.06,215.94,211.46,4.90M,1.92%
07/21/2023,211.8,213.89,215.6,211.64,4.06M,-0.85%
07/20/2023,213.61,208.83,215.1,208.8,5.78M,2.40%
07/19/2023,208.6,211.12,211.87,208.24,4.81M,-1.40%
07/18/2023,211.57,211,213.04,209.57,5.90M,-0.14%
07/17/2023,211.87,212.5,214.23,211.74,3.62M,-0.59%
07/14/2023,213.12,217,217.02,212.81,4.29M,-1.72%
07/13/2023,216.85,218.13,218.9,216.3,4.29M,-0.12%
07/12/2023,217.11,219.51,221.56,216.92,5.12M,-0.75%
07/11/2023,218.76,212.91,218.98,211.35,7.46M,2.55%
07/10/2023,213.31,211.84,213.59,211.22,3.50M,0.57%
07/07/2023,212.1,212.94,215.66,211.83,4.89M,-0.24%
07/06/2023,212.62,212.48,213.61,209.58,4.68M,-0.32%
07/05/2023,213.31,210,214.28,207.89,4.93M,1.13%
07/03/2023,210.92,210.5,212.17,210.24,2.14M,-0.11%
